transaction_id,items
250,bread|milk
251,bread|milk|pasta|sugar
252,apples|chicken|coffee|pasta|rice|tomato_sauce
253,bread|butter|cheese|coffee|pasta
254,bananas|butter|yogurt
255,bread|butter|milk|pasta
256,bananas|chicken|coffee|eggs|pasta|tea|tomato_sauce
257,bananas|bread|coffee|sugar|yogurt
258,bananas|pasta|tomato_sauce
259,bread|eggs|milk
260,chicken|rice
261,bread|milk|pasta|tomato_sauce
262,bread|butter|milk
263,butter|coffee|tomato_sauce|yogurt
264,bread|chicken|milk|rice|sugar
265,coffee|sugar
266,apples|bread|butter|milk|tomato_sauce
267,rice
268,bread|butter|chicken|milk|rice
269,bread|coffee|milk|sugar
270,bread|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
271,bread|butter
272,bread|butter|chicken|rice
273,tomato_sauce
274,bananas|coffee|milk|sugar|yogurt
275,chicken|pasta|rice|yogurt
276,bread|butter|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
277,bread|butter|milk
278,bananas|chicken|rice|yogurt
279,eggs|tea
280,bananas|cheese|chicken|yogurt
281,bread|coffee|milk|pasta|sugar|tea|tomato_sauce
282,bread|chicken|milk|pasta|rice|tea|tomato_sauce
283,bread|milk|rice
284,apples
285,bread|butter|milk
286,apples|bananas|chicken|pasta|rice|tomato_sauce|yogurt
287,bananas|bread|butter
288,cheese|chicken|coffee|eggs|rice|sugar
289,bananas|milk|yogurt
290,bananas|bread|butter|milk|yogurt
291,bread|coffee|milk|sugar|yogurt
292,apples|bananas|bread|milk|yogurt
293,pasta
294,bread|butter|coffee|milk|pasta
295,chicken
296,bread|chicken|milk|pasta|rice
297,bananas|butter|chicken|coffee|eggs|pasta|sugar|tomato_sauce|yogurt
298,bananas|bread|milk|pasta|tomato_sauce|yogurt
299,bread|butter|chicken|pasta|tomato_sauce
300,coffee|sugar
301,bananas|rice|yogurt
302,coffee
303,bread|milk|pasta|tea
304,bread|butter|milk|pasta|tomato_sauce
305,bread|milk
306,bread|milk|pasta|tomato_sauce
307,bread|butter|coffee|pasta|sugar|tomato_sauce
308,apples
309,bread|butter|pasta|tomato_sauce
310,coffee
311,bread|milk|pasta|tomato_sauce
312,chicken|milk|pasta|rice|tomato_sauce
313,bananas
314,bananas|bread|butter|coffee|eggs|milk|pasta|sugar|tomato_sauce|yogurt
315,cheese|coffee|milk|sugar
316,bread|butter|tea
317,bread|butter|milk|tea
318,chicken|pasta|rice|sugar|tomato_sauce|yogurt
319,bread|butter|milk
320,bread|butter|milk
321,bananas|coffee|tea|yogurt
322,bread|cheese|chicken|milk|rice
323,bananas|bread|butter|coffee|yogurt
324,bananas|bread|milk|pasta|rice|tomato_sauce
325,bread|butter|chicken|milk|pasta|rice|yogurt
326,bread|chicken|milk|rice|tea|yogurt
327,bread|butter|coffee
328,butter|chicken|milk|rice|tea|yogurt
329,apples|butter|coffee|milk|sugar
330,bread|chicken|pasta|tea|tomato_sauce
331,bananas|coffee|yogurt
332,bread|butter|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
333,bread|butter|milk|rice|sugar
334,bananas|bread|butter|chicken|eggs|milk|rice|yogurt
335,bread|chicken|coffee|milk|rice|sugar|yogurt
336,bananas|chicken|pasta|rice|tomato_sauce|yogurt
337,apples|bread|butter|cheese|chicken|rice|sugar
338,bananas|bread|butter|milk|tea|yogurt
339,bread|butter|coffee|sugar|yogurt
340,bread|milk|sugar
341,eggs|pasta|tomato_sauce|yogurt
342,bread|chicken|milk|pasta|rice|tomato_sauce
343,bread|milk|pasta
344,bananas|chicken|coffee|eggs|sugar
345,tomato_sauce
346,bananas|bread|pasta|yogurt
347,bananas|coffee|pasta|sugar|tea|yogurt
348,bread|butter|coffee|milk
349,bread|butter|chicken|milk|rice
350,bananas|rice
351,coffee|eggs|sugar
352,bread|butter|coffee|milk|pasta|sugar|tomato_sauce
353,apples|bread|butter|eggs|milk
354,cheese
355,bread|butter|chicken|eggs|milk|rice
356,bread|butter|coffee|sugar
357,bread|butter|coffee|milk|sugar
358,bread|butter|coffee|milk|sugar
359,pasta|rice|tea|tomato_sauce
360,coffee|pasta|tomato_sauce
361,bread|milk|pasta|tomato_sauce
362,cheese
363,coffee|milk
364,bananas|coffee|rice|sugar
365,cheese|chicken|pasta|rice|tomato_sauce|yogurt
366,bread|cheese|coffee|milk|pasta
367,chicken|rice
368,chicken
369,bread|chicken|milk
370,coffee|eggs|sugar|tomato_sauce
371,bread|butter|chicken|coffee
372,bananas|bread|butter|sugar|yogurt
373,chicken|pasta|rice|tea|tomato_sauce
374,chicken
375,bread|butter|pasta|tomato_sauce
376,bread|butter|chicken|coffee|milk|rice|sugar
377,coffee|eggs|pasta|sugar|tea|tomato_sauce
378,bananas|chicken|rice|yogurt
379,apples|bananas|bread|butter|coffee|milk|tomato_sauce|yogurt
380,pasta|sugar|tomato_sauce
381,bread|butter|pasta|tomato_sauce
382,butter|eggs|milk
383,apples
384,bread|butter|milk|pasta|tomato_sauce
385,bananas|bread|coffee|sugar|tea|yogurt
386,bread|butter|sugar
387,bread|butter|chicken|pasta|rice
388,bread|butter|pasta|tomato_sauce
389,bananas|bread|milk|pasta|rice|tomato_sauce|yogurt
390,apples|bread|butter|chicken|milk|pasta|rice|tomato_sauce
391,bananas|chicken|rice|tomato_sauce|yogurt
392,bananas|bread|coffee|milk|yogurt
393,bread|butter|milk|sugar
394,chicken
395,bananas|bread|cheese|chicken|milk|pasta|rice|yogurt
396,bananas|coffee|eggs|rice|sugar|yogurt
397,bread|butter|coffee|milk|rice|sugar
398,bananas|milk|tomato_sauce|yogurt
399,bread|chicken|coffee|eggs|milk|rice|sugar|tea
400,butter|coffee|tomato_sauce
