alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,actual_is_anomaly,observation_source
12.37,1.63,2.3,24.5,88.0,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342.0,0,held_out_normal
14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,0,held_out_normal
14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,0,held_out_normal
13.5,3.12,2.62,24.0,123.0,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500.0,0,held_out_normal
13.75,1.73,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,0,held_out_normal
14.21,4.04,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080.0,0,held_out_normal
9.355867154170728,4.6,2.86,25.0,162.53855775429045,-1.1945214396912083,-2.512498962981304,-0.1828859490350373,1.11,8.5,0.67,5.561026181017839,630.0,1,synthetic_anomaly
13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,0,held_out_normal
12.93,2.81,2.7,21.0,96.0,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600.0,0,held_out_normal
8.623087806754336,1.83,2.32,18.5,13.847620964541235,5.689562222936363,6.389206295188542,0.52,1.64,19.652074374269482,1.08,7.471872121788955,480.0,1,synthetic_anomaly
13.88,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095.0,0,held_out_normal
13.4,4.6,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0,0,held_out_normal
7.93920664824784,1.1,4.028276420458229,-2.393143817246461,101.0,2.05,1.09,0.63,0.41,-9.90534026405323,1.25,-0.47995005636011845,-621.0397924342557,1,synthetic_anomaly
13.5,1.81,2.61,20.0,96.0,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845.0,0,held_out_normal
12.33,1.1,2.28,16.0,101.0,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680.0,0,held_out_normal
13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045.0,0,held_out_normal
12.93,9.770745374107708,4.255088864778576,21.0,96.0,-0.8073836439157862,8.865117114745916,0.53,0.75,4.6,-0.5423552188585667,2.31,2171.257119849034,1,synthetic_anomaly
14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,0,held_out_normal
13.4,3.91,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750.0,0,held_out_normal
13.5,-3.489051028072244,2.61,20.0,164.00846586485443,-2.086537815944043,-4.100838076377039,-0.2819726919334494,1.66,3.52,-0.4178080721865849,3.82,845.0,1,synthetic_anomaly
13.63,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310.0,0,held_out_normal
12.08,1.83,2.32,18.5,81.0,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480.0,0,held_out_normal
13.4,3.91,2.48,23.0,32.10917634052086,-1.1596612614513426,8.504227074028313,0.43,4.6971557995245385,16.524984985124224,0.7,1.56,-641.3732424412245,1,synthetic_anomaly
